,accuracy(%)
black_accuracy,91.825
white_accuracy,90.948
black_angry_accuracy,85.366
white_angry_accuracy,86.111
black_angry_male_accuracy,91.429
white_angry_male_accuracy,85.714
black_angry_female_accuracy,80.851
white_angry_female_accuracy,86.486
black_fear_accuracy,90.361
white_fear_accuracy,81.818
black_fear_male_accuracy,94.286
white_fear_male_accuracy,89.655
black_fear_female_accuracy,87.5
white_fear_female_accuracy,75.676
black_happy_accuracy,97.561
white_happy_accuracy,93.706
black_happymale_accuracy,98.529
white_happymale_accuracy,90.141
black_happyfemale_accuracy,96.875
white_happyfemale_accuracy,97.222
black_neutral_accuracy,90.355
white_neutral_accuracy,93.989
black_male_neutral_accuracy,93.548
white_male_neutral_accuracy,96.774
black_female_neutral_accuracy,87.5
white_female_neutral_accuracy,91.111
